
{'EVT':{'Adc': [[21, 21, 21, 21, 23, 23, 21, 21], [562, 568, 568, 568, 568, 567, 567, 582]], 'Frq': 41998677, 'Evt': 1, 'Tks': 4422355, 'Etm': 155535.1052975}}*{'BMP':{'Tmb': 22.9, 'Alb': 509.2, 'Prs': 953.57}}*{'ACL':{'Acz': 10.787315, 'Acy': -0.039227, 'Acx': -0.078453}}*{'MAG':{'Mgz': -16.734694, 'Mgy': -8.909091, 'Mgx': 0.727273}}*{'HTU':{'Tmh': 23.314, 'Hum': 36.8}}*{'STS':{'Htu': 1, 'Acl': 1, 'Bmp': 1, 'Mag': 1, 'Qsz': 19, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.096046, 'Alt': 494.5, 'Lon': 5.879559}}*{'TIM':{'Upt': 9000, 'Sec': 155710, 'Frq': 41998677}}*{'DAT':{'Dat': 'Tue Apr  5 15:57:13 2016'}}*{'SQN':{'Sqn': 91}} - ('81.28.206.54', 57178)

{'EVT':{'Adc': [[21, 20, 20, 20, 20, 19, 19, 21], [564, 564, 567, 567, 567, 567, 588, 588]], 'Frq': 41998676, 'Evt': 1, 'Tks': 4405761, 'Etm': 155547.1049024}}*{'BMP':{'Tmb': 22.9, 'Alb': 509.2, 'Prs': 953.57}}*{'ACL':{'Acz': 10.787315, 'Acy': -0.039227, 'Acx': -0.078453}}*{'MAG':{'Mgz': -16.734694, 'Mgy': -8.909091, 'Mgx': 0.727273}}*{'HTU':{'Tmh': 23.314, 'Hum': 36.8}}*{'STS':{'Htu': 1, 'Acl': 1, 'Bmp': 1, 'Mag': 1, 'Qsz': 19, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.096046, 'Alt': 494.5, 'Lon': 5.879559}}*{'TIM':{'Upt': 9000, 'Sec': 155710, 'Frq': 41998677}}*{'DAT':{'Dat': 'Tue Apr  5 15:57:13 2016'}}*{'SQN':{'Sqn': 92}} - ('81.28.206.54', 57178)

{'EVT':{'Adc': [[20, 20, 19, 19, 21, 21, 20, 20], [561, 564, 564, 567, 567, 574, 574, 579]], 'Frq': 41998675, 'Evt': 1, 'Tks': 4446010, 'Etm': 155611.1058607}}*{'BMP':{'Tmb': 22.9, 'Alb': 509.2, 'Prs': 953.57}}*{'ACL':{'Acz': 10.787315, 'Acy': -0.039227, 'Acx': -0.078453}}*{'MAG':{'Mgz': -16.734694, 'Mgy': -8.909091, 'Mgx': 0.727273}}*{'HTU':{'Tmh': 23.314, 'Hum': 36.8}}*{'STS':{'Htu': 1, 'Acl': 1, 'Bmp': 1, 'Mag': 1, 'Qsz': 19, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.096046, 'Alt': 494.5, 'Lon': 5.879559}}*{'TIM':{'Upt': 9000, 'Sec': 155710, 'Frq': 41998677}}*{'DAT':{'Dat': 'Tue Apr  5 15:57:13 2016'}}*{'SQN':{'Sqn': 93}} - ('81.28.206.54', 57178)

{'EVT':{'Adc': [[22, 21, 21, 19, 19, 19, 19, 19], [562, 562, 566, 566, 568, 568, 588, 588]], 'Frq': 41998676, 'Evt': 1, 'Tks': 4402005, 'Etm': 155735.1048129}}*{'BMP':{'Tmb': 22.8, 'Alb': 509.7, 'Prs': 953.51}}*{'ACL':{'Acz': 10.787315, 'Acy': -0.11768, 'Acx': -0.039227}}*{'MAG':{'Mgz': -16.734694, 'Mgy': -9.0, 'Mgx': 0.636364}}*{'HTU':{'Tmh': 23.292, 'Hum': 36.5}}*{'STS':{'Htu': 1, 'Acl': 1, 'Bmp': 1, 'Mag': 1, 'Qsz': 17, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.096046, 'Alt': 483.700012, 'Lon': 5.879498}}*{'TIM':{'Upt': 9672, 'Sec': 160822, 'Frq': 41998677}}*{'DAT':{'Dat': 'Tue Apr  5 15:57:14 2016'}}*{'SQN':{'Sqn': 94}} - ('81.28.206.54', 57178)

{'EVT':{'Adc': [[21, 21, 23, 23, 19, 19, 20, 20], [556, 562, 562, 567, 567, 581, 581, 575]], 'Frq': 41998676, 'Evt': 1, 'Tks': 4441200, 'Etm': 155923.1057462}}*{'BMP':{'Tmb': 22.8, 'Alb': 509.7, 'Prs': 953.51}}*{'ACL':{'Acz': 10.787315, 'Acy': -0.11768, 'Acx': -0.039227}}*{'MAG':{'Mgz': -16.734694, 'Mgy': -9.0, 'Mgx': 0.636364}}*{'HTU':{'Tmh': 23.292, 'Hum': 36.5}}*{'STS':{'Htu': 1, 'Acl': 1, 'Bmp': 1, 'Mag': 1, 'Qsz': 17, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.096046, 'Alt': 483.700012, 'Lon': 5.879498}}*{'TIM':{'Upt': 9672, 'Sec': 160822, 'Frq': 41998677}}*{'DAT':{'Dat': 'Tue Apr  5 16:08:23 2016'}}*{'SQN':{'Sqn': 95}} - ('81.28.206.54', 57178)
